         381229104 function calls (381226101 primitive calls) in 695.170 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.054    0.003 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       14    0.000    0.000    0.054    0.004 <frozen importlib._bootstrap_external>:159(_path_isfile)
     6528    0.003    0.000    0.050    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/utils.py:194(inner)
    30934    0.024    0.000    0.048    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/formatting/formatting.py:125(_unnest)
        1    0.001    0.001    0.047    0.047 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/shutil.py:624(_rmtree_safe_fd)
     3274    0.045    0.000    0.045    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.044    0.044 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2084(_from_pretrained)
   254612    0.043    0.000    0.043    0.000 {method 'get' of 'dict' objects}
    30935    0.030    0.000    0.043    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/formatting/formatting.py:398(__init__)
   407412    0.039    0.000    0.039    0.000 {built-in method builtins.id}
   108341    0.037    0.000    0.037    0.000 {built-in method builtins.max}
       42    0.004    0.000    0.036    0.001 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/urllib/request.py:2488(getproxies_environment)
        1    0.000    0.000    0.036    0.036 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/utils/hub.py:152(list_repo_templates)
        1    0.000    0.000    0.034    0.034 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/utils/hub.py:167(<listcomp>)
        1    0.000    0.000    0.034    0.034 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/hf_api.py:3048(list_repo_tree)
